Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Value,Type,Supplier,Datasheet
R3,RMC0603271%N,R0603,55.6mm,14.2mm,55.6mm,14.2mm,54.847mm,14.2mm,2,T,0,Yes,27R 1%,27Ω,,LCSC,https://item.szlcsc.com/datasheet/RMC0603271%2525N/305931.html
R4,RMC0603271%N,R0603,55.6mm,15.7mm,55.6mm,15.7mm,54.847mm,15.7mm,2,T,0,Yes,27R 1%,27Ω,,LCSC,https://item.szlcsc.com/datasheet/RMC0603271%2525N/305931.html
R5,0603WAF1002T5E,R0603,42.1mm,19.4mm,42.1mm,19.4mm,41.347mm,19.4mm,2,T,0,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R6,0603WAF1002T5E,R0603,42.1mm,20.8mm,42.1mm,20.8mm,41.347mm,20.8mm,2,T,0,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R7,0603WAF1002T5E,R0603,49.5mm,20.9mm,49.5mm,20.9mm,50.253mm,20.9mm,2,T,180,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R8,0603WAF1002T5E,R0603,42.1mm,18mm,42.1mm,18mm,41.347mm,18mm,2,T,0,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R9,0603WAF1002T5E,R0603,49.5mm,22.3mm,49.5mm,22.3mm,50.253mm,22.3mm,2,T,180,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R10,0603WAF1002T5E,R0603,70.5mm,6.8mm,70.5mm,6.8mm,71.253mm,6.8mm,2,T,180,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R11,0603WAF1002T5E,R0603,70.5mm,8.6mm,70.5mm,8.6mm,71.253mm,8.6mm,2,T,180,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
R12,0603WAF1002T5E,R0603,70.5mm,10.4mm,70.5mm,10.4mm,71.253mm,10.4mm,2,T,180,Yes,10k 1%,10kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF1002T5E/26547.html
SW1,SKQGABE010,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4,41.1mm,4.5mm,41.1mm,4.5mm,38mm,6.35mm,4,T,0,Yes,SKQGABE010,,,LCSC,https://item.szlcsc.com/datasheet/SKQGABE010/116599.html
SW3,SKQGABE010,KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4,41.1mm,14.4mm,41.1mm,14.4mm,38mm,16.25mm,4,T,0,Yes,SKQGABE010,,,LCSC,https://item.szlcsc.com/datasheet/SKQGABE010/116599.html
U1,MDBT50Q-P1MV2,COMM-SMD_MDBT50Q-1MV2,63.001mm,10.616mm,63.001mm,10.616mm,67.651mm,5.166mm,61,T,180,Yes,MDBT50Q-P1MV2,,,LCSC,https://item.szlcsc.com/datasheet/MDBT50Q-P1MV2/5703459.html
U2,BQ25186DLHR_C44639442,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,45.72mm,19.304mm,45.72mm,19.304mm,46.77mm,18.504mm,11,T,90,Yes,BQ25186DLHR,,,LCSC,https://www.ti.com.cn/cn/lit/ds/symlink/bq25186.pdf
